,X,Y,Z,M200c,Density,Contrast
0,30.08406,7.31593,51.88874,20980000000.0,165.633937135,-0.676496216533
1,13.52135,63.36801,12.78256,24970000000.0,174.558751079,-0.659064939299
2,13.84176,33.33939,63.99675,29970000000.0,186.700084405,-0.635351397646
3,60.55549,48.01846,31.09888,36790000000.0,190.745950249,-0.62744931592
4,60.54337,48.01598,31.10253,40290000000.0,190.8542883,-0.627237718164
5,44.20223,0.51518,43.0176,20980000000.0,191.220396197,-0.626522663677
6,48.73447,41.6355,57.54607,21980000000.0,193.667341837,-0.621743472974
7,42.24328,53.29829,60.63163,55270000000.0,194.750722349,-0.619627495412
8,45.0172,30.15606,25.84214,81250000000.0,197.978449117,-0.613323341569
9,51.28832,1.13887,22.27063,64430000000.0,207.078845419,-0.595549130041
10,6.4614,8.08022,12.42093,27470000000.0,212.615293416,-0.584735755047
11,6.50863,8.06127,12.40029,89570000000.0,213.567921108,-0.582875154087
12,15.17138,15.83188,24.70234,22640000000.0,218.308644797,-0.57361592813
13,59.82943,50.33632,52.81593,39460000000.0,218.566414643,-0.5731124714
14,60.34689,50.33176,51.3535,24470000000.0,219.858999668,-0.570587891273
15,19.02976,5.22431,19.38212,1.061e+11,221.510221001,-0.567362849608
16,59.94617,50.73037,52.26289,29130000000.0,222.291002128,-0.565837886468
17,16.42353,22.674,51.52724,23470000000.0,224.480177922,-0.561562152496
18,35.85176,59.2694,42.45051,21640000000.0,224.689382435,-0.561153549932
19,22.14225,8.39424,6.36339,26970000000.0,228.316839253,-0.554068673334
20,39.1665,51.71494,50.82679,32300000000.0,234.238074121,-0.542503761482
21,5.23961,12.31769,36.36456,22140000000.0,234.387505916,-0.542211902507
22,35.34481,58.89788,42.11488,1.657e+11,236.076085197,-0.538913896099
23,38.38444,50.22551,51.15559,23140000000.0,238.735971144,-0.533718806359
24,11.82967,15.21346,51.05024,38120000000.0,241.616268989,-0.528093224631
25,6.78252,32.87577,59.56531,32800000000.0,241.840416681,-0.52765543617
26,24.63288,20.12142,62.38976,27800000000.0,242.16169504,-0.527027939375
27,12.28412,14.91362,50.91314,43450000000.0,243.118058527,-0.52516004194
28,8.55047,28.08652,33.09663,26970000000.0,243.719521501,-0.523985309569
29,38.97243,27.09491,29.69646,89900000000.0,246.640913089,-0.518279466624
30,42.61286,55.56313,55.51619,29300000000.0,247.302148781,-0.516987990663
31,38.18136,27.01505,30.25798,27800000000.0,248.449037806,-0.514747973036
32,38.31069,49.79446,50.82172,22810000000.0,248.594733805,-0.514463410536
33,17.06363,37.01073,25.28832,26970000000.0,248.815145703,-0.514032918549
34,17.07001,37.00111,25.32138,23310000000.0,248.830088882,-0.514003732652
